ident,name,latitude_deg,longitude_deg,iso_country,iata_code
ENHK,Hasvik Airport,70.4867019653,22.1396999359,NO,HAA
ENHV,Valan Airport,71.0096969604,25.9836006165,NO,HVG
ENKA,Kautokeino Air Base,69.0402984619,23.0340003967,NO,QKX
ENKB,"Kristiansund Airport, Kvernberget",63.1118011475,7.8245201111,NO,KSU
ENKL,Gol Airport,60.7914009094,9.0505599976,NO,GLL
ENKR,"Kirkenes Airport, Høybuktmoen",69.7257995605,29.8913002014,NO,KKN
ENLI,Lista Airport,58.0994987488,6.6260499954,NO,FAN
ENLK,Leknes Airport,68.1524963379,13.6093997955,NO,LKN
ENMH,Mehamn Airport,71.0297012329,27.8267002106,NO,MEH
ENML,Molde Airport,62.7447013855,7.2624998093,NO,MOL
ENMS,"Mosjøen Airport, Kjærstad",65.783996582,13.2149000168,NO,MJF
ENNA,Banak Airport,70.0688018799,24.9734992981,NO,LKL
ENNK,Narvik Framnes Airport,68.4368972778,17.3866996765,NO,NVK
ENNM,Namsos Høknesøra Airport,64.4721984863,11.5785999298,NO,OSY
ENNO,Notodden Airport,59.565700531,9.212220192,NO,NTB
ENOL,Ørland Airport,63.6988983154,9.6040000916,NO,OLA
ENOV,"Ørsta-Volda Airport, Hovden",62.1800003052,6.0741000175,NO,HOV
ENRA,"Mo i Rana Airport, Røssvoll",66.363899231,14.3014001846,NO,MQN
ENRM,"Rørvik Airport, Ryum",64.8383026123,11.1461000443,NO,RVK
ENRO,Røros Airport,62.5783996582,11.342300415,NO,RRS
ENRS,Røst Airport,67.5278015137,12.1033000946,NO,RET
ENRY,"Moss Airport, Rygge",59.3788986206,10.7855997086,NO,RYG
ENSB,"Svalbard Airport, Longyear",78.2461013794,15.4656000137,NO,LYR
ENSD,"Sandane Airport, Anda",61.8300018311,6.1058301926,NO,SDN
ENSG,Sogndal Airport,61.1561012268,7.1377801895,NO,SOG
ENSH,Svolvær Helle Airport,68.2433013916,14.6691999435,NO,SVJ
ENSK,Stokmarknes Skagen Airport,68.5788269043,15.033416748,NO,SKN
ENSN,Skien Airport,59.1850013733,9.5669403076,NO,SKE
ENSO,Stord Airport,59.7919006348,5.3408498764,NO,SRP
